municipio_nome,situacao_obra,ambito,valor_inicial_contrato,valor_total_pago,contratada,cnpj_contratada,contratante,classificacao,data_paralisacao,descricao_obra,endereco,url_obra,data_prevista_conclusao
Águas de Lindóia,Atrasada,Estadual,3420000,1872630.25,BERNARDI EMPREENDIMENTOS E SOLUÇÕES LTDA.,00.445.741/0001-86,COMPANHIA DE DESENVOLVIMENTO HABITACIONAL E URBANO DO ESTADO DE SAO PAULO - CDHU,Habitação,Não informado,CH Águas de Lindóia C - cont. 146/17 Execução de Obras e serviços de engenharia para a realização do empreendimento composto por 50 UHs Tipologia TI23B-01 e demais serviços,Não informado,Não informado,05/02/2020
Agudos,Atrasada,Estadual,76304.33,72879.54,DEDRA COMÉRCIO E CONSTRUÇÕES LTDA ,04.088.379/0001-94,FUNDACAO PARA O DESENVOLVIMENTO DA EDUCACAO - FDE,"Educação - Universidades, Faculdades, Escolas e similares",Não informado,"EE PROF FARID FAYAD, Execução de sanitário acessível, reparos na cobertura, na quadra de esportes, na sala de informática e nas salas de aula 01 e 09.",Não informado,Não informado,19/07/2018
Altinópolis,Atrasada,Municipal,2396427.68,1159427.68,RIO VIVO AMBIENTAL LTDA,00.770.937/0001-46,PREFEITURA MUNICIPAL DE ALTINOPOLIS,"Esgotamento sanitário - Rede coletora, estações de tratamento e similares",Não informado,AMPLIAÇÃO E MANUTENÇÃO DO SISTEMA DE ESGOTO SANITÁRIO MUNICIPAL,Não informado,Não informado,07/11/2018
Alumínio,Atrasada,Municipal,1598453.97,1595282.59,SOROBASE ENGENHARIA E CONSTRUÇÃO LTDA,08.684.633/0001-78,PREFEITURA MUNICIPAL DE ALUMINIO,"Educação - Universidades, Faculdades, Escolas e similares",Não informado,CONTRUÇÃO DE CRECHE-PRÉ ESCOLA PADRÃO FDE LOCALIZADA NA AVENIDA OCTAVIO CORREA DA COSTA BAIRRO OLIDEL ALUMÍNIO-SP,Não informado,Não informado,18/05/2018
Álvares Florence,Atrasada,Municipal,8818294.94,8086836.18,CARVALHO E GARCIA CONSTRUÇÃO EMPREENDIMENTOS LTDA. - EPP,10.693.251/0001-52,PREFEITURA MUNICIPAL DE ALVARES FLORENCE,Habitação,Não informado,"PRODUÇÃO DE 107 UNIDADES HABITACIONAIS E DEMAIS SERVIÇOS NO CONJUNTO HABITACIONAL ALVARES FLORENCE “H”, referente  ao convenio nº 9.00.00.00/3.00.00.00/0285/2014, o cronograma físico-financeiro pactuado encontra-se em atraso, sendo previsto uma evolução de 90.45% (percentual executado/acumulado) para o mês de Dezembro/20018 e estando a obra com uma evolução de 62.62% (percentual executado/ acumulado- Alvares Florence /SP",Não informado,Não informado,29/04/2019
Álvares Florence,Atrasada,Estadual,1341340.2,0,MAF CONSTRUTORA EIRELI ,04.580.414/0001-98,COMPANHIA DE DESENVOLVIMENTO HABITACIONAL E URBANO DO ESTADO DE SAO PAULO - CDHU,Habitação,Não informado,"CH Alvares Florence I - cont. 163/18\nExecução de obras e serviços de engenharia para realização de empreendimento composto de 19 unidades\nhabitacionais TI22A-01 A=47.87 m² - radier=12 cm – Bl. Concreto Bif. 220/127 V – 2D com sistema gerador solar\nfotovoltaico. E sem entrada de energia, entradas de energia, Kit barras de apoio, terraplenagem, rede de água, rede de\nesgoto, drenagem, pavimentação, urbanismo, muro de arrimo e fechamentos.",Não informado,Não informado,18/08/2020
Álvaro de Carvalho,Atrasada,Estadual,47381990.15,46352489.74,CG CONSTRUÇÕES LTDA.,41.333.691/0001-22,GABINETE DO SECRETARIO E ASSESSORIAS - SECRETARIA DA ADMINISTRACAO PENITENCIARIA,"Segurança pública (Delegacias, penitenciárias e similares)",Não informado,Execução de obras e serviços de engenharia para a construção do Centro de Detenção Provisória de Álvaro de Carvalho,"Rodovia Mamede Barreto (SP 349), Km 36",,15/08/2016
Americana,Atrasada,Municipal,42949802.39,4206922.28,CONSTRUTORA CAPPELLANO LTDA.,60.676.616/0001-09,DEPARTAMENTO DE AGUA E ESGOTO - DAE - AMERICANA,"Esgotamento sanitário - Rede coletora, estações de tratamento e similares",Não informado,AMPLIAÇÃO E ADEQUAÇÃO DA ETE CARIOBA,Não informado,Não informado,06/04/2018
Américo Brasiliense,Atrasada,Municipal,1405503.54,406396.58,KACEL KARAM CURI ENGENHARIA LTDA,53.539.458/0001-80,PREFEITURA MUNICIPAL DE AMERICO BRASILIENSE,"Educação - Universidades, Faculdades, Escolas e similares",Não informado,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DE CONTINUAÇÃO DA CONSTRUÇÃO DA CRECHE MODELO FDE - 2013/01956, NA RUA ROUXINOL, S/N, JD. NOVO AMÉRICO",Não informado,Não informado,13/06/2019
Américo Brasiliense,Atrasada,Municipal,407963.23,143737.06,LAFAR ENGENHARIA E SERVICOS EIRELI ME,27.899.360/0001-23,PREFEITURA MUNICIPAL DE AMERICO BRASILIENSE,"Saúde (Hospitais, Postos de Saúde, UBS, CAPS e similares)",Não informado,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REFORMA E AMPLIAÇÃO DE EDIFÍCIO PÚBLICO PARA IMPLANTAÇÃO DE UNIDADE BÁSICA DE SAÚDE  LOCALIZADA À AV. RAFAEL HERVIAS RODRIGUES, S/N, LUIS OMETTO.",AV. RAFAEL HERVIAS RODRIGUES,https://goo.gl/maps/JT9388Ay7C7inQ6HA,06/09/2019
Amparo,Atrasada,Municipal,2032477.4,1573875.35,"ATRYANS ARQUITETURA, RESTAURO E CONSTRUÇÃO  LTDA ME",00.925.840/0001-65,PREFEITURA MUNICIPAL DE AMPARO,"Equipamento urbanos (praças, quadras e similares)",Não informado,RESTAURO E RECUPERAÇÃO DE PATRIMÔNIO HISTORICO CASA 8 DE ABRIL,Não informado,Não informado,30/06/2017
Amparo,Atrasada,Municipal,914554.57,228951.61,SANIOTO CONSTRUÇÕES EIRELI - EPP,18.367.855/0001-10,SERVICO AUTONOMO DE AGUA E ESGOTOS - SAAE - AMPARO,"Abastecimento de água - Captação, Adução, Tratamento e similares",Não informado,TRATA-SE DE OBRA DE SUBSTITUIÇÃO DE 6062.54 METROS DE REDES DE ÁGUA PELO MÉTODO CONVENCIONAL E 367 LIGAÇÕES DOMICILIARES PELO MÉTODO NÃO DESTRUTIVO NO DISTRITO DE ARCADAS NESTE MUNICÍPIO.,Não informado,Não informado,28/02/2019
Amparo,Atrasada,Municipal,870466.09,171571.65,FLASA ENGENHARIA E CONSTRUÇÕES LTDA ,49.252.885/0001-05,PREFEITURA MUNICIPAL DE AMPARO,"Equipamento urbanos (praças, quadras e similares)",Não informado,RESTAURO DE PRÉDIO HITÓRICO CASA DO CHEFE DA ESTAÇÃO,Não informado,Não informado,23/06/2018
Amparo,Atrasada,Municipal,2123964.18,1684393.61,CONSTEL CONSTRUTORA E PAVIMENTAÇÃO EIRELI EPP,52.770.039/0001-91,PREFEITURA MUNICIPAL DE AMPARO,Mobilidade urbana - vias urbanas,Não informado,RECAPEAMENTO DE PAVIMENTAÇÃO ASFÁLTICO E RECUPERAÇÃO DE PAVIMENTO PARALELEPIPEDO,Não informado,Não informado,23/01/2018
Amparo,Atrasada,Municipal,994657.09,0,SANEX SOLUÇÕES EIRELI,05.350.401/0001-95,PREFEITURA MUNICIPAL DE AMPARO,Saneamento,Não informado,CONSTRUÇÃO DA ESTAÇÃO DE TRATAMENTO DE ESGOTO NA LOTEAMENTO JAGUARI - AMPARO - SP,LOTEAMENTO JAGUARI,,08/04/2019
Amparo,Atrasada,Municipal,1337821.58,1444805.13,VENUS ENGENHARIA E CONSTRUTORA LTDA,10.359.258/0001-32,PREFEITURA MUNICIPAL DE AMPARO,"Educação - Universidades, Faculdades, Escolas e similares",Não informado,CONSTRUÇÃO DE CRECHE,Não informado,Não informado,05/01/2016
Amparo,Atrasada,Municipal,2926898.83,2791095.87,EXATA CONSTRUTORA LTDA,01.295.504/0001-49,PREFEITURA MUNICIPAL DE AMPARO,"Educação - Universidades, Faculdades, Escolas e similares",Não informado,Construção de Escola Municipal de Ensino Fundamental,Não informado,Não informado,28/06/2019
Amparo,Atrasada,Municipal,367829.57,338940.83,IZILDA FONSECA SILVA CONSTRUÇÕES EPP,57.247.132/0001-30,PREFEITURA MUNICIPAL DE AMPARO,"Equipamento urbanos (praças, quadras e similares)",Não informado,CONSTRUÇÃO E VESTIÁRIO DO CENTRO ESPORTIVO MOREIRINHA,Não informado,Não informado,16/11/2017
Amparo,Atrasada,Municipal,1435000,1362506.57,K33 ENGENHARIA LTDA,13.256.823/0001-24,PREFEITURA MUNICIPAL DE AMPARO,"Educação - Universidades, Faculdades, Escolas e similares",Não informado,CONSTRUÇÃO DE CRECHE,Não informado,Não informado,24/10/2015
Andradina,Atrasada,Municipal,680692.78,272277.12,URBANIZA ENGENHARIA E CONSULTORIA LTDA. ,00.963.096/0001-93,PREFEITURA MUNICIPAL DE ANDRADINA,Transporte - Ferrovias,Não informado,ELABORAÇÃO DE PROJETO PARA O NOVO TRAÇADO DA LINHA FÉRREA,Não informado,Não informado,18/11/2015
Angatuba,Atrasada,Estadual,1578951.06,1388062.59,JB CONSTRUÇÕES E EMPREENDIMENTOS EIRELI,00.688.529/0001-40,FUNDACAO PARA O DESENVOLVIMENTO DA EDUCACAO - FDE,"Educação - Universidades, Faculdades, Escolas e similares",Não informado,"EE IVENS VIEIRA, Acessibilidade+ Pára-raios+ Sistema de Proteção e Combate a Incêndio.",Não informado,Não informado,30/10/2018
Anhumas,Atrasada,Municipal,499439.21,380310.56,SALIONE INFRAESTRUTURA LTDA,18.043.340/0001-65,PREFEITURA MUNICIPAL DE ANHUMAS,Mobilidade urbana - vias urbanas,Não informado,"Contratação de empresa do ramo de pavimentação asfáltica visando execução de urbanização da entrada da cidade com implantação de Avenida, recapeamento e pavimentação, canteiro central e infra-estrutura a ser executada na Estrada Vicinal Anhumas/Pirapozinho, com implantação de duplicação, nos termos do Contrato de Repasse nº 784316/2013 – Ministério das Cidades / Caixa, conforme Planilha, Projetos e Memorial Descritivo.",Não informado,Não informado,22/06/2016
Anhumas,Atrasada,Municipal,261897.02,227501.38,HBC BRASIL CONSTRUÇÕES E TRANSPORTE LTDA ME,12.622.818/0001-25,PREFEITURA MUNICIPAL DE ANHUMAS,Mobilidade urbana - vias urbanas,Não informado,"Contratação de empresa do ramo de pavimentação asfáltica visando execução de urbanização da entrada da cidade com implantação de Avenida com pavimentação, canteiro central e infra-estrutura a ser executada na Estrada Vicinal Anhumas/Pirapozinho, com implantação de duplicação, nos termos do Contrato de Repasse nº 809497/2014 - Processo nº 2587.1017434-43/2014– Ministério das Cidades / Caixa, conforme Planilha, Projetos e Memorial Descritivo",Não informado,Não informado,25/12/2017
Aparecida,Atrasada,Estadual,6590000,2829128.51,CONSTRUTORA VIASOL LTDA - EPP,12.049.132/0001-97,COMPANHIA DE DESENVOLVIMENTO HABITACIONAL E URBANO DO ESTADO DE SAO PAULO - CDHU,Habitação,Não informado,Execução de obras e serviços de engenharia para realização de empreendimento composto de 62 unidades habitacionais tipo V042A e demais serviços.,Não informado,Não informado,14/10/2019
Aparecida,Atrasada,Municipal,670000,293781.74,SALLE ENGENHARIA E CONSTRUÇÃO LTDA,12.140.941/0001-00,PREFEITURA MUNICIPAL DE APARECIDA,"Educação - Universidades, Faculdades, Escolas e similares",Não informado,"Obra em andamento. O atraso se deve a demora no repasse do Governo Federal, por dificuldades no sistema do FNDE.",Não informado,Não informado,20/09/2016
Aparecida,Atrasada,Municipal,473177.07,577424.05,CONSTRUTORA EMA DO VALE EIRELLI,29.450.708/0001-26,PREFEITURA MUNICIPAL DE APARECIDA,"Saúde (Hospitais, Postos de Saúde, UBS, CAPS e similares)",Não informado,Obra em andamento com previsão para conclusão em fevereiro de 2019. Esta obra já foi licitada e executada parcialmente por uma empresa que pediu o cancelamento do contrato por não ter condições de concluir o objeto. Foi realizada nova licitação para execução dos serviços que faltavam ser executados e a obra está em andamento. Valor do primeiro contrato = R$ 646235.63 Valor executado do primeiro contrato = R$ 389851.22 Valor do segundo contrato = R$ 473177.07,Não informado,Não informado,10/11/2018
Aparecida,Atrasada,Municipal,2959930.16,3385155.05,NEVES E LONGANO LTDA,09.455.936/0001-81,PREFEITURA MUNICIPAL DE APARECIDA,"Saúde (Hospitais, Postos de Saúde, UBS, CAPS e similares)",Não informado,"Obra em andamento, com previsão para conclusão em fevereiro de 2019.",Não informado,Não informado,30/12/2015
Aparecida d'Oeste,Atrasada,Municipal,1615129.79,0,MAX CONSTRUÇÕES E SERVIÇOS EM EDIFICAÇÕES LTDA,07.864.949/0001-89,PREFEITURA MUNICIPAL DE APARECIDA D OESTE,"Educação - Universidades, Faculdades, Escolas e similares",Não informado,CONSTRUÇÃO DO PRÉDIO DA CRECHE ESCOLA - FDE,Não informado,Não informado,12/05/2015
Araçariguama,Atrasada,Municipal,988588.59,175616.87,CERQUEIRA TORRES CONSTRUÇÃO TERRAPLENAGEM E PAVIMENTAÇÃO EIRELI ME,00.827.454/0001-30,PREFEITURA MUNICIPAL DE ARACARIGUAMA,Mobilidade urbana - vias urbanas,Não informado,Pavimentação asfáltica no bairro do Igavetá,Avenida Igavetá,"https://www.google.com/maps/@-23.4188926,-470553755.18z",05/11/2018
Araçariguama,Atrasada,Municipal,493593.6,36827.33,CERQUEIRA TORRES CONSTRUÇÃO TERRAPLENAGEM E PAVIMENTAÇÃO EIRELI ME,00.827.454/0001-30,PREFEITURA MUNICIPAL DE ARACARIGUAMA,Mobilidade urbana - vias urbanas,Não informado,Pavimentação asfáltica da Estrada Aparecidinha,Estrada Aparecidinha,"https://www.google.com/maps/@-23.4178015,-470603669.18.5z",05/11/2018
Araçatuba,Atrasada,Municipal,2100000,109280.21,UNICON OBRAS E INSTALAÇÕES LTDA - EPP,13.338.127/0001-67,PREFEITURA MUNICIPAL DE ARACATUBA,"Educação - Universidades, Faculdades, Escolas e similares",Não informado,"EXECUÇÃO DE OBRAS E SERVIÇOS DESTINADOS À CONSTRUÇÃO DE UMA ESCOLA DE EDUCAÇÃO INFANTIL, PROGRAMA PRÓ-INFÂNCIA FNDE TIPO 1",RUA LUIZ GRENGE,https://goo.gl/maps/3WMmTkFy2BoABLn39,14/01/2020
Araçatuba,Atrasada,Municipal,8333057.61,113695.86,TMK ENGENHARIA S.A.,28.131.759/0001-22,PREFEITURA MUNICIPAL DE ARACATUBA,Recursos Hídricos - Canais,Não informado,"EXECUÇÃO DE OBRAS E SERVIÇOS DE INFRAESTRUTURA URBANA PARA CONSTRUÇÃO DO CANAL DO CÓRREGO MACHADINHO E DO PAVIMENTO ASFÁLTICO NA AVENIDA JOAQUIM POMPEU DE TOLEDO, ENTRE A RUA TUPINAMBÁS E A AVENIDA SAUDADE E ENTRE AS RUAS TUPINAMBÁS E RODOVIA MARECHAL RONDON (MARGINAL ANHANGUERA) - BAIRRO ICARAY, MUNICÍPIO DE ARAÇATUBA/SP",AVENIDA JOAQUIM POMPEU DE TOLEDO,https://goo.gl/maps/TT1ubykJM41wBkus8,25/08/2019
Arapeí,Atrasada,Estadual,4731602.9,411234.93,ELEFE CONSTRUTORA,12.381.044/0001-98,COMPANHIA DE DESENVOLVIMENTO HABITACIONAL E URBANO DO ESTADO DE SAO PAULO - CDHU,Habitação,Não informado,Execução de obras e serviços de engenharia para conclusão de empreendimento composto de 48 unidades habitacionais e demais serviços.,Não informado,Não informado,24/02/2020
Artur Nogueira,Atrasada,Municipal,1628179.31,1550027.87,ENGEDRART PROJETOS E OBRAS LTDA EPP,03.548.670/0001-35,PREFEITURA MUNICIPAL DE ARTUR NOGUEIRA,"Educação - Universidades, Faculdades, Escolas e similares",Não informado,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA E CAPACITADA PARA CONSTRUÇÃO DE CRECHE,Não informado,Não informado,18/11/2016
Artur Nogueira,Atrasada,Municipal,13060814.17,11703257.62,CONSTRUTORA SIMOSO LTDA,48.169.536/0001-61,PREFEITURA MUNICIPAL DE ARTUR NOGUEIRA,Mobilidade urbana - vias urbanas,Não informado,EXECUÇÃO DE GUIAS E SARJETAS E PAVIMENTAÇÃO ASFÁLTICAS E GALERIAS PLUVIAIS EM DIVERSAS RUAS DO MUNICÍPIO,Não informado,Não informado,27/12/2013
Artur Nogueira,Atrasada,Municipal,651465.23,379650.08,POIATE & MONTOSA LTDA EPP,19.984.892/0001-30,PREFEITURA MUNICIPAL DE ARTUR NOGUEIRA,"Equipamento urbanos (praças, quadras e similares)",Não informado,CONSTRUÇÃO DE EDIFÍCIOS DENOMINADA PRAÇA DOS ESPORTES E DA CULTURA,Não informado,Não informado,21/06/2018
Artur Nogueira,Atrasada,Municipal,4678859.77,4111831.07,FUSATI ENGENHARIA E ASSESSORIA AMBIENTAL LTDA,09.235.665/0001-59,PREFEITURA MUNICIPAL DE ARTUR NOGUEIRA,"Esgotamento sanitário - Rede coletora, estações de tratamento e similares",Não informado,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA E ESPECIALIZADA PARA FORNECIMENTO E MONTAGEM DE EQUIPAMENTOS INTERNOS DOS REATORES,Não informado,Não informado,10/09/2015
Arujá,Atrasada,Estadual,526909.84,4354.06,SANGRA DÁGUA AMBIENTAL,09.674.981/0001-27,COMPANHIA DE DESENVOLVIMENTO HABITACIONAL E URBANO DO ESTADO DE SAO PAULO - CDHU,Habitação,Não informado,"Execução de serviços de paisagismo, manutenção e fechamento para atendimento a Termo de Compromisso de Recuperação Ambiental.",Não informado,Não informado,10/02/2022
Arujá,Atrasada,Municipal,795435.06,72619.09,TELEAR COMÉRCIO E SERVIÇOS DE COMUNICAÇÃO E CONSTRUÇÃO CIVIL EIRELI,05.067.718/0001-19,CAMARA MUNICIPAL DE ARUJA,Mobilidade urbana - vias urbanas,Não informado,CONSTRUÇÃO DO ESTACIONAMENTO,Não informado,Não informado,07/09/2019
Aspásia,Atrasada,Municipal,824381.36,657398.05,ENGEPLAN TERRAPLENAGEM CONSTRUCAO CIVIL E PAVIMENTACAO LTDA - EPP,03.950.480/0001-40,PREFEITURA MUNICIPAL DE ASPASIA,"Equipamento urbanos (praças, quadras e similares)",Não informado,Implantação de um Parque Urbano/Ambiental,Av. 7 de Setembro,"https://www.google.com.br/maps/dir//Asp%C3%A1sia,+S%C3%A3o+Paulo/@-20.1613944,-507234518.278m/data=!3m1!1e3!4m8!4m7!1m0!1m5!1m1!1s0x9499cb9b9ed49651:0x867ff58dc29ccb76!2m2!1d-50.7273095!2d-20.1608224",05/02/2017
Atibaia,Atrasada,Municipal,2496060.61,602858.88,LEWALE ENGENHARIA -  PROJETOS E CONSTRUÇÕES LTDA.,10.338.037/0001-88,PREFEITURA MUNICIPAL DE ATIBAIA,"Abastecimento de água - Captação, Adução, Tratamento e similares",Não informado,Disponibilização de água tratada através da execução de redes de distribuição e ligações domiciliares no Belvedere I e II,Não informado,Não informado,12/02/2019
Atibaia,Atrasada,Estadual,2045808.6,1059760.77,KM & M ENGENHARIA PROJETO E CONSTRUÇÃO LTDA - ME,12.745.239/0001-70,FUNDACAO PARA O DESENVOLVIMENTO DA EDUCACAO - FDE,"Educação - Universidades, Faculdades, Escolas e similares",Não informado,"TERRENO JD ALVINOPOLIS, Construção de prédio para Creche/Escola Infantil.",Não informado,Não informado,30/05/2019
Auriflama,Atrasada,Municipal,350000,0,JR SANTA FÉ PAVIMENTAÇÃO E CONSTRUÇÕES EIRELI,65.472.078/0001-54,PREFEITURA MUNICIPAL DE AURIFLAMA,Mobilidade urbana - vias urbanas,Não informado,"EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA, CALÇADAS, GUIAS E SINALIZAÇÃO DE TRÂNSITO EM VIAS PÚBLICAS",RUA JOSÉ DELAMURA E OUTRAS,"https://www.google.com.br/maps/place/20%C2%B040'46.6%22S+50%C2%B032'54.2%22W/@-20.679617,-505489222.206m/data=!3m2!1e3!4b1!4m6!3m5!1s0x0:0x0!7e2!8m2!3d-20.6796167!4d-50.5483748",05/03/2019
Auriflama,Atrasada,Municipal,250000,0,W.BR SERVIÇOS DE ENGENHARIA LTDA,05.048.691/0001-17,PREFEITURA MUNICIPAL DE AURIFLAMA,Mobilidade urbana - vias urbanas,Não informado,"EXECUÇÃO DAS OBRAS DE INFRAESTRUTURA DO CENTRO DE CONVENÇÕES (3ª ETAPA) - PAVIMENTAÇÃO ASFÁLTICA CBUQ, GUIAS E SINALIZAÇÃO HORIZONTAL E VERTICAL",AVENIDA A,"https://www.google.com.br/maps/place/20%C2%B039'49.7%22S+50%C2%B033'11.1%22W/@-20.6637997,-505536242.220m/data=!3m2!1e3!4b1!4m6!3m5!1s0x0:0x0!7e2!8m2!3d-20.6638007!4d-50.5530769",18/12/2015
Auriflama,Atrasada,Municipal,250000,0,JR SANTA FÉ PAVIMENTAÇÃO E CONSTRUÇÕES EIRELI,65.472.078/0001-54,PREFEITURA MUNICIPAL DE AURIFLAMA,Mobilidade urbana - vias urbanas,Não informado,"EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA, CALÇADAS, GUIAS E SINALIZAÇÃO DE TRÂNSITO EM VIAS PÚBLICAS",RUA PIERINO CAZONI E OUTRAS,"https://www.google.com.br/maps/place/20%C2%B040'50.3%22S+50%C2%B033'25.1%22W/@-20.680633,-505575212.206m/data=!3m2!1e3!4b1!4m6!3m5!1s0x0:0x0!7e2!8m2!3d-20.6806331!4d-50.556974",05/03/2019
Bananal,Atrasada,Municipal,178028.7,115718.66,OLIVIA MENDES LEAL COSTA EPP,24.064.322/0001-62,PREFEITURA MUNICIPAL DE BANANAL,Habitação,Não informado,REFORMA DA CAPELA DO CEMITÉRIO,Não informado,Não informado,06/06/2017
Bananal,Atrasada,Municipal,338058.47,270446.78,VIGA PARTICIPAÇÕES E ENGENHARIA LTDA,07.744.431/0001-01,PREFEITURA MUNICIPAL DE BANANAL,"Mobilidade urbana - Pontes, viadutos e similares",Não informado,URBANIZAÇÃO E INFRAESTRUTURA NAS PRAÇAS,Não informado,Não informado,18/10/2016
Bananal,Atrasada,Municipal,401000,304760,C.M.E CAMPOS MELO ENGENHARIA LTDA EPP,07.291.184/0001-35,PREFEITURA MUNICIPAL DE BANANAL,Mobilidade urbana - vias urbanas,Não informado,URBANIZAÇÃO E INFRAESTRUTURA NO DISTRITO DE RANCHO GRANDE,Não informado,Não informado,24/01/2019
Barbosa,Atrasada,Municipal,298236.89,235845.01,C&M CONSTRUTORA UCHOA LTDA ME,12.011.263/0001-85,PREFEITURA MUNICIPAL DE BARBOSA,Infraestrutura Turística,Não informado,Obra de Revitalização da orla da praia Municipal de Barbosa/SP (Processo: 2587.1032079-06/2016),"ÀS MARGENS DO RIO TIETÊ, NA VIA DE ACESSO CONTÍGUA À RODOVIA ASSIS CHATEAUBRIAND (SP-425), BARBOSA - SP ","https://www.google.com.br/maps/place/Prainha+de+Barbosa+-+SP/@-21.237907,-499419645.17.75z/data=!4m5!3m4!1s0x94bdf6cbddb7de57:0xa7c1355cc9054493!8m2!3d-21.2371099!4d-49.9414149",19/03/2018
Barra do Turvo,Atrasada,Municipal,259019.16,156073.04,C $ K CONSTRUÇÕES LTDA EPP,11.275.768/0001-80,PREFEITURA MUNICIPAL DE BARRA DO TURVO,"Equipamento urbanos (praças, quadras e similares)",Não informado,Construção de Quadra Coberta Bairro Reginaldo,Não informado,Não informado,02/12/2015
