municipio_nome,situacao_obra,ambito,valor_inicial_contrato,valor_total_pago,contratada,cnpj_contratada,contratante,classificacao,data_paralisacao,descricao_obra,endereco,url_obra,data_prevista_conclusao
Apiaí,Paralisada,Municipal,1583159.33,364193.2,GROMA CONSTRUTORA EIRELI EPP,15.656.828/0001-36,PREFEITURA MUNICIPAL DE APIAI,Habitação,Não informado,Implantação de Campo de Futebol no Distrito do Lageado de Araçaíba. Construção de Quadra de Esportes no Bairro Conceição do Herval. Reforma na quadra de Esportes na escola ALA. Pavimentação em lajotas na Rua João Cândido no Bairro Pinheiros.,Não informado,Não informado,10/06/2015
Araçatuba,Paralisada,Municipal,444396,226792.49,FM KERBAUY RESENDE LTDA EPP,04.576.883/0001-33,PREFEITURA MUNICIPAL DE ARACATUBA,Edificações Administrativas Diversas,21/05/2018,CONSTRUÇÃO DE CENTRO DE REFERÊNCIA ESPECIALIZADA DE ASSISTÊNCIA SOCIAL - CREAS,RUA JUNQUEIRA FREIRE,https://goo.gl/maps/pHvRn2aAjZHT6Xhh9,18/01/2018
Araçoiaba da Serra,Paralisada,Municipal,1032074.47,1136908.86,B2X BRASIL EMPREENDIMENTOS LTDA,15.638.772/0001-20,PREFEITURA MUNICIPAL DE ARACOIABA DA SERRA,"Saúde (Hospitais, Postos de Saúde, UBS, CAPS e similares)",Não informado,CONSTRUÇÃO DE UNIDADE BASICA DE SAÚDE NO MORRO ARAÇOIABA,Não informado,Não informado,28/05/2015
Araraquara,Paralisada,Municipal,1599803.31,1596995.65,ACQUA TECNOLOGIA DA ÁGUA EIRELLI-EPP,07.030.022/0001-43,DEPARTAMENTO AUTONOMO DE AGUA E ESGOTO - DAAE - ARARAQUARA,"Abastecimento de água - Captação, Adução, Tratamento e similares",Não informado,"Contratação de empresa especializada para perfuração de 02 (dois) poços tubulares profundos denominados Poço São Rafael I e Poço Victório de Santi ll, conforme especificações constantes nos anexos, sendo que: O Lote I corresponde à perfuração do Poço Tubular Profundo São Rafael I e também compreende o fornecimento e instalação de bomba submersa, de colunas edutoras, de cabo de energia, bem como a confecção de bloco e caixa de passagem, conforme especificações constantes nos anexos.",Não informado,Não informado,14/08/2018
Araraquara,Paralisada,Municipal,72776.09,51631.72,ANTÔNIO MARCOS PEREIRA BERGAMI ME,11.294.617/0001-83,PREFEITURA MUNICIPAL DE ARARAQUARA,"Mobilidade urbana - Pontes, viadutos e similares",08/05/2019,Reconstrução de bases de pontes pré-moldadas na ARA-513 - Interligação dos setores 6 ao 3 do Assentamento Monte Alegre - Araraquara - SP,ESTRADA ARA-513,"https://www.google.com.br/maps/@-21.5939345,-482143059.770m/data=!3m1!1e3?hl=pt-BR",11/08/2018
Araras,Paralisada,Municipal,3243840.11,2435553.74,MARQUES ENGENHARIA E CONSTRUÇÃO EIRELI - EPP,58.296.195/0001-49,PREFEITURA MUNICIPAL DE ARARAS,"Educação - Universidades, Faculdades, Escolas e similares",Não informado,"1 - ESCOLA DO CAMPO (PROJETO ESPAÇO EDUCATIVO 12 SALAS- FNDE) COM ÁREA TOTAL ESTIMADA DE 2.945 M2 DA ESCOLA, INCLUINDO A QUADRA COBERTA",Não informado,Não informado,27/12/2014
Arco-Íris,Paralisada,Municipal,188592.24,0,ENGENIL DE NIPOÃ CONSTRUTORA LTDA,09.106.400/0001-50,PREFEITURA MUNICIPAL DE ARCO IRIS,"Equipamento urbanos (praças, quadras e similares)",Não informado,CONSTRUÇÃO DE EDIFICIO MULTIPLO-USO,Não informado,Não informado,20/06/2018
Ariranha,Paralisada,Municipal,900887.73,449003.53,CONSTRULARA CONSTRUTORA E EMPREENDIMENTOS IMOBLIARIOS LTDA.,11.859.855/0001-99,PREFEITURA MUNICIPAL DE ARIRANHA,Mobilidade urbana - vias urbanas,Não informado,"Contratação de empresa especializada, com fornecimento de materiais e mão de obra, para a pavimentação de 16382.55 m2 e execução de 3288.93 m de guias e sarjetas, por execução indireta em empreitada global, em conformidade com o programa PLANEJAMENTO URBANO do MINISTÉRIO DAS CIDADES, referente ao Contrato de Repasse n.º 804551/2014",Não informado,Não informado,30/09/2016
Artur Nogueira,Paralisada,Municipal,931977.83,102908.53,COLETA CTMR LIMPEZA E CONSTRUÇÕES LTDA,17.468.456/0001-83,PREFEITURA MUNICIPAL DE ARTUR NOGUEIRA,Mobilidade urbana - vias urbanas,Não informado,"EXECUÇÃO DE RECAPEAMENTO ASFÁLTICO E SINALIZAÇÃO NAS RUAS DO BAIRRO ITAMARATY, MARIA SIMÕES, JOSÉ BERVINDE, OSWALDO CRUZ, MONTEIRO LOBATO, MARIA GODOY, PRES. CASTELO BRANCO, FRANCISCO CABRINO E CONSTÁBLE ROMANO.",Não informado,Não informado,03/10/2017
Artur Nogueira,Paralisada,Municipal,847405.76,85192.9,COLETA CTMR LIMPEZA E CONSTRUÇÕES LTDA,17.468.456/0001-83,PREFEITURA MUNICIPAL DE ARTUR NOGUEIRA,Mobilidade urbana - vias urbanas,Não informado,EXECUÇÃO DE RECAPEAMENTO ASFÁLTICO E SINALIZAÇÃO NAS RUAS DO BAIRRO JD. RESEK E REGIÃO,Não informado,Não informado,03/10/2017
Artur Nogueira,Paralisada,Municipal,573997.31,422087.9,COLETA CTMR LIMPEZA E CONSTRUÇÕES LTDA,17.468.456/0001-83,PREFEITURA MUNICIPAL DE ARTUR NOGUEIRA,Mobilidade urbana - vias urbanas,Não informado,EXECUÇÃO DE PAVIMENTAÇÃO ASFÁLTICA E RECAPEAMENTO NAS RUAS DO PARQUE INDUSTRIAL ITAMARATY,Não informado,Não informado,17/11/2017
Artur Nogueira,Paralisada,Municipal,85798.72,23269.83,COLETA CTMR LIMPEZA E CONSTRUÇÕES LTDA,17.468.456/0001-83,PREFEITURA MUNICIPAL DE ARTUR NOGUEIRA,Mobilidade urbana - vias urbanas,Não informado,EXECUÇÃO DE RECAPEAMENTO ASFÁLTICO E SINALIZAÇÃO NA RUA RUI BARBOSA,Não informado,Não informado,22/10/2017
Artur Nogueira,Paralisada,Municipal,4046473.81,3994403.21,CONSTRUTORA CLARK LTDA,65.527.939/0001-54,PREFEITURA MUNICIPAL DE ARTUR NOGUEIRA,"Esgotamento sanitário - Rede coletora, estações de tratamento e similares",Não informado,CONTRATAÇÃO DE EMPRESA CAPACITADA E ESPECIALIZADA PARA OBRAS DE CONSTRUÇÃO DA ETE STOCCO,Não informado,Não informado,25/06/2015
Artur Nogueira,Paralisada,Municipal,1933455.17,635304.91,COLETA CTMR LIMPEZA E CONSTRUÇÕES LTDA,17.468.456/0001-83,PREFEITURA MUNICIPAL DE ARTUR NOGUEIRA,Mobilidade urbana - vias urbanas,Não informado,RECAPEAMENTO ASFÁLTICO E SINALIZAÇÃO NOS BAIRROS: PAINEIRAS E REGIÃO/ JD. BLUMENAU E RICARDO DUZZI,Não informado,Não informado,03/10/2017
Atibaia,Paralisada,Municipal,905296.05,1246450.91,LOCMAQ LOCAÇÃO DE EQUIPAMENTOS LTDA ME,10.376.886/0001-26,CAMARA MUNICIPAL DE ATIBAIA,Edificações Administrativas Diversas,01/04/2013,Reforma e Ampliação do Prédio da Câmara Municipal,Av. Nove De Julho,"https://www.google.com/maps/place/C%C3%A2mara+Municipal+da+Est%C3%A2ncia+de+Atibaia/@-23.116306,-465504228.17z/data=!3m1!4b1!4m5!3m4!1s0x94cec0ddb21616d3:0xc0bf9af0a1065ef6!8m2!3d-23.116306!4d-46.5482341",23/02/2013
Auriflama,Paralisada,Municipal,390066,299662.43,F. MOREIRA DOS SANTOS MATERIAIS DE CONSTRUÇÃO EPP,19.110.594/0001-64,PREFEITURA MUNICIPAL DE AURIFLAMA,"Saúde (Hospitais, Postos de Saúde, UBS, CAPS e similares)",Não informado,CONSTRUÇÃO DE UMA UNIDADE BÁSICA DE SAÚDE NO BAIRRO PORTAL DAS PAINEIRAS.,Não informado,Não informado,02/03/2015
Auriflama,Paralisada,Municipal,500082.5,237621.86,F. MOREIRA DOS SANTOS MATERIAIS DE CONSTRUÇÃO EPP,19.110.316/0001-64,PREFEITURA MUNICIPAL DE AURIFLAMA,"Equipamento urbanos (praças, quadras e similares)",Não informado,CONSTRUÇÃO DO CENTRO DE CONVENÇÕES  - 2ª ETAPA: COMPREENDE NA EXECUÇÃO DE SERVIÇOS DE INFRAESTRUTURA  EM ÁREA EDIFICADA DE 750.00 METROS QUADRADOS.,Não informado,Não informado,02/03/2015
